ID,RENDIMIENTO_GLOBAL
920593,bajo
461479,alto
387508,medio-bajo
440148,alto
544310,medio-alto
223112,medio-bajo
377701,alto
800486,alto
671414,medio-bajo
85057,alto
912007,bajo
584590,medio-bajo
185487,alto
446273,bajo
720695,bajo
654314,bajo
378016,alto
185445,bajo
888740,alto
782710,bajo
515448,alto
155089,bajo
164087,bajo
945086,bajo
802905,medio-alto
555205,alto
905684,alto
295980,medio-bajo
283741,bajo
963367,alto
818526,medio-bajo
965424,bajo
742968,bajo
737775,bajo
732113,bajo
765344,medio-alto
880951,medio-bajo
55915,medio-bajo
740914,bajo
716597,alto
665841,alto
886459,alto
622102,bajo
282352,medio-bajo
762960,bajo
125153,bajo
815371,medio-bajo
618192,bajo
469116,medio-bajo
454268,alto
211244,alto
613144,medio-bajo
551302,alto
91464,bajo
481362,alto
625938,medio-bajo
726579,alto
753631,medio-bajo
739543,medio-bajo
377759,bajo
234793,alto
712007,alto
580788,bajo
382627,medio-bajo
973710,bajo
497355,bajo
456019,bajo
522199,medio-bajo
326878,bajo
416061,bajo
497313,alto
650676,medio-bajo
490395,medio-bajo
413896,medio-bajo
343477,alto
732925,medio-bajo
436468,medio-bajo
168009,bajo
729497,medio-alto
424093,bajo
924636,alto
619253,alto
818472,alto
437629,bajo
641566,medio-bajo
745317,medio-bajo
518573,bajo
909357,alto
836369,bajo
96523,alto
981950,bajo
321869,alto
48426,alto
703839,bajo
580723,bajo
2640,alto
592758,medio-alto
642122,medio-alto
14052,medio-alto
559499,alto
756392,medio-bajo
482132,alto
462928,medio-bajo
45390,medio-alto
902285,alto
99753,bajo
637552,bajo
679340,medio-bajo
113524,bajo
504502,bajo
334599,bajo
432373,medio-bajo
273547,bajo
847488,alto
83875,alto
781541,alto
30139,alto
269982,medio-bajo
664089,bajo
582477,bajo
40776,bajo
141196,medio-alto
318349,medio-bajo
485230,bajo
32687,medio-alto
880835,medio-bajo
409650,medio-bajo
272389,medio-alto
188498,bajo
360081,alto
603121,bajo
502747,medio-bajo
536900,alto
765380,bajo
306972,medio-bajo
92953,alto
807114,bajo
680131,alto
392354,bajo
333270,alto
390889,bajo
622839,bajo
803948,medio-bajo
48066,bajo
316585,bajo
805036,medio-bajo
153287,alto
190675,bajo
732754,medio-bajo
903369,medio-bajo
364345,bajo
403854,medio-alto
533109,alto
761567,medio-alto
404630,medio-bajo
924991,medio-bajo
600553,medio-bajo
635031,medio-bajo
611558,medio-bajo
700897,alto
380788,medio-bajo
940500,medio-bajo
227641,bajo
936722,bajo
986916,alto
786459,bajo
253038,alto
859269,alto
831487,bajo
514729,medio-alto
176846,medio-bajo
569568,bajo
61373,bajo
837497,bajo
282129,bajo
28887,bajo
449676,medio-bajo
569018,bajo
985502,alto
210497,alto
319939,medio-alto
364235,medio-bajo
352505,medio-bajo
841094,bajo
465138,bajo
865174,bajo
638538,medio-alto
880925,alto
961123,medio-bajo
135306,bajo
490108,bajo
880283,bajo
654128,alto
639077,medio-bajo
210489,alto
337994,alto
515580,alto
276389,medio-bajo
340471,medio-alto
302737,bajo
19862,medio-alto
892,medio-alto
26019,bajo
139571,medio-alto
424029,medio-bajo
746656,medio-bajo
461724,bajo
938674,alto
20830,bajo
953029,bajo
743087,alto
878884,bajo
127503,medio-bajo
620775,bajo
394624,bajo
768770,alto
37436,alto
180667,medio-alto
150939,bajo
651926,bajo
596670,bajo
703829,bajo
474486,medio-alto
510169,medio-alto
276616,alto
611773,bajo
830881,medio-alto
583553,medio-alto
357361,bajo
470659,medio-bajo
792260,alto
659787,alto
869013,alto
613077,medio-bajo
723972,bajo
370305,alto
815226,bajo
32162,medio-bajo
478099,alto
516024,alto
92276,medio-bajo
441466,bajo
626520,alto
731381,alto
830747,medio-alto
109501,medio-bajo
632150,medio-bajo
637033,alto
943466,alto
382766,medio-bajo
700533,bajo
848788,bajo
432857,medio-bajo
769050,bajo
627296,bajo
782166,medio-alto
580552,bajo
528621,bajo
43508,bajo
284498,medio-bajo
585619,alto
622571,alto
361045,medio-bajo
435923,bajo
100918,bajo
918839,medio-alto
650656,alto
968261,bajo
352041,bajo
286414,medio-bajo
623995,alto
249975,medio-alto
839849,alto
229967,alto
128607,medio-bajo
656221,bajo
887319,alto
203063,medio-alto
929712,bajo
842385,alto
317619,bajo
609497,alto
250217,medio-bajo
337056,bajo
63927,alto
718892,bajo
23924,medio-bajo
9499,bajo
726460,medio-bajo
451956,bajo
682466,medio-alto
735385,alto
509349,alto
114022,medio-bajo
605697,medio-bajo
679011,bajo
470037,bajo
714479,medio-alto
211837,alto
431588,bajo
133491,bajo
854499,alto
391703,alto
643681,medio-bajo
629275,alto
355813,alto
935269,bajo
764877,bajo
226016,medio-bajo
400459,alto
12575,medio-bajo
151452,bajo
689096,alto
281703,medio-bajo
973775,medio-bajo
437076,alto
190351,alto
310823,medio-alto
304213,medio-bajo
723484,medio-bajo
914963,bajo
954781,bajo
873727,alto
471605,alto
421136,bajo
421775,alto
338300,medio-bajo
217079,medio-bajo
374702,bajo
203664,bajo
62413,medio-alto
767297,medio-bajo
437845,bajo
353780,medio-alto
465181,medio-alto
207300,alto
934669,bajo
935403,bajo
801630,bajo
56865,bajo
571641,alto
807717,medio-bajo
773174,bajo
463859,medio-bajo
358895,bajo
985435,alto
390377,alto
983142,medio-bajo
839894,medio-bajo
763394,bajo
664396,medio-bajo
744062,medio-bajo
939621,alto
80230,bajo
863211,medio-bajo
448651,bajo
853897,alto
472034,alto
335782,medio-alto
642256,medio-bajo
856529,medio-bajo
433734,alto
650895,medio-bajo
55148,medio-bajo
889562,bajo
741232,bajo
662665,medio-alto
690645,bajo
203998,medio-alto
873020,medio-bajo
713443,alto
130687,medio-alto
883750,medio-bajo
662241,bajo
687248,alto
650327,bajo
460658,alto
794499,alto
87076,alto
109487,alto
61894,alto
507919,bajo
33667,alto
912852,alto
702512,bajo
411697,alto
541424,medio-bajo
445686,alto
802376,medio-bajo
536178,bajo
324769,bajo
557184,bajo
529641,medio-bajo
220715,alto
150977,alto
273060,medio-alto
987210,medio-bajo
589458,medio-alto
701873,alto
247164,medio-alto
620497,medio-bajo
839151,medio-bajo
227546,medio-alto
315181,alto
86885,bajo
253452,bajo
119170,bajo
825955,alto
248407,alto
903355,alto
243616,alto
771803,bajo
413372,alto
715174,bajo
433657,bajo
511536,medio-bajo
825725,alto
363275,alto
135484,alto
132093,alto
308607,alto
637046,bajo
664597,bajo
94901,bajo
60587,alto
86432,alto
60683,bajo
891773,alto
506423,bajo
928592,bajo
542457,alto
581899,medio-bajo
269452,medio-bajo
573151,alto
920958,bajo
970469,medio-alto
929868,bajo
434696,alto
466603,alto
545005,alto
589522,medio-alto
397180,medio-alto
220144,alto
552456,bajo
530407,medio-bajo
348856,bajo
816650,medio-alto
730198,medio-bajo
36784,bajo
510961,medio-bajo
240644,alto
242983,alto
791242,bajo
631678,alto
74508,bajo
599484,alto
791345,bajo
124411,alto
674404,alto
822300,alto
128903,bajo
396253,medio-alto
982360,alto
610909,alto
479030,bajo
857950,medio-bajo
168203,alto
345120,bajo
665003,bajo
678633,medio-bajo
732831,medio-bajo
723556,bajo
95133,medio-alto
564779,medio-alto
3977,medio-bajo
398093,bajo
130646,bajo
600086,alto
363434,medio-bajo
27086,medio-bajo
484884,bajo
592927,alto
608899,bajo
433069,medio-alto
427991,medio-bajo
856295,bajo
154788,bajo
691775,alto
916597,medio-alto
482870,bajo
698809,alto
968566,alto
349473,medio-bajo
478721,alto
251894,alto
522849,bajo
907374,bajo
788212,medio-alto
64043,bajo
3385,bajo
560156,bajo
946961,bajo
819269,medio-alto
655696,bajo
593406,medio-bajo
260228,alto
38650,medio-bajo
680574,bajo
418519,medio-bajo
128257,medio-alto
477436,alto
584881,bajo
753672,alto
310412,alto
79780,medio-alto
412875,bajo
904542,medio-bajo
754507,bajo
249871,bajo
649642,medio-bajo
153014,alto
343230,bajo
624476,alto
918441,bajo
358128,alto
326158,bajo
844072,alto
402104,bajo
639781,alto
823091,bajo
132619,alto
323599,alto
964220,medio-bajo
303559,bajo
285186,bajo
259595,medio-alto
315469,alto
605816,medio-bajo
889874,bajo
148668,bajo
27033,medio-bajo
21186,medio-bajo
329197,medio-alto
63997,bajo
159156,medio-bajo
839761,bajo
495126,alto
845047,bajo
313093,alto
149462,medio-alto
611272,bajo
560231,medio-bajo
388792,alto
702135,medio-bajo
766839,alto
810844,bajo
980884,alto
753648,alto
57594,bajo
346480,alto
730914,medio-alto
837288,bajo
252310,medio-alto
235807,bajo
341031,bajo
74091,medio-alto
20531,medio-bajo
374920,bajo
269968,medio-bajo
236505,medio-alto
264885,bajo
533044,medio-bajo
94081,medio-bajo
371037,medio-bajo
67103,bajo
820054,alto
565191,alto
49921,medio-alto
161577,bajo
87142,alto
378915,bajo
437283,medio-bajo
802486,bajo
966427,alto
55296,bajo
878180,alto
40657,alto
198794,medio-alto
158496,medio-bajo
871255,medio-bajo
355384,alto
528272,bajo
864975,bajo
622161,medio-bajo
276199,alto
561772,alto
68502,alto
927795,bajo
923157,medio-bajo
68196,bajo
871261,alto
139874,bajo
122112,medio-alto
440839,alto
563474,alto
412442,alto
524128,bajo
256609,medio-bajo
557994,alto
538357,medio-bajo
217728,alto
98755,alto
104519,medio-bajo
91279,alto
7870,bajo
666497,alto
936365,alto
488754,bajo
892560,alto
126475,medio-alto
416093,bajo
568723,bajo
553766,bajo
102195,alto
402323,medio-alto
522953,bajo
613922,medio-alto
627649,medio-alto
877165,medio-alto
95303,bajo
489308,medio-bajo
291442,alto
893224,medio-bajo
852875,bajo
318955,alto
414965,bajo
21861,alto
848301,medio-alto
880274,bajo
364398,alto
769196,medio-bajo
17685,alto
307454,medio-bajo
692701,alto
781530,medio-alto
519808,medio-bajo
717606,bajo
36507,bajo
282475,bajo
681143,alto
566647,bajo
750105,medio-bajo
961847,bajo
514293,alto
976264,medio-bajo
656712,alto
330854,bajo
300617,alto
118951,medio-bajo
771000,medio-bajo
118220,alto
304294,alto
690444,medio-alto
292735,medio-alto
448322,alto
415459,medio-bajo
500182,bajo
174635,medio-alto
223388,alto
520031,bajo
271324,medio-alto
42104,alto
738839,bajo
220784,bajo
886236,bajo
913965,medio-bajo
964518,bajo
515501,bajo
748253,bajo
96413,medio-bajo
914771,medio-bajo
364499,bajo
104745,bajo
439931,bajo
687134,alto
745402,medio-bajo
552015,medio-bajo
911776,alto
25567,alto
669827,bajo
813737,medio-alto
372830,medio-bajo
607975,bajo
638423,bajo
897638,alto
112986,bajo
381282,bajo
590687,bajo
818999,bajo
102560,bajo
356272,alto
350683,bajo
288511,alto
976139,medio-bajo
184652,bajo
760679,alto
55953,medio-alto
910467,medio-bajo
923282,bajo
75536,medio-bajo
457204,alto
364268,alto
798840,alto
154410,alto
865902,alto
529867,medio-bajo
243338,medio-alto
396872,bajo
268972,alto
15021,bajo
82591,medio-bajo
676250,alto
721258,alto
921622,alto
656847,medio-bajo
30487,medio-bajo
985568,alto
496291,bajo
112066,alto
410186,alto
137829,bajo
66819,alto
572282,bajo
381168,bajo
98782,bajo
164554,alto
18972,alto
894017,medio-alto
656826,bajo
600819,bajo
211576,alto
711644,medio-alto
933083,medio-alto
790377,alto
785223,alto
105354,alto
563256,alto
135105,bajo
23450,bajo
62260,bajo
620336,alto
702172,medio-alto
733491,alto
614300,medio-bajo
485836,alto
629502,bajo
918019,medio-alto
68113,alto
875215,bajo
545886,bajo
902608,bajo
205220,medio-bajo
454987,alto
861970,alto
952304,alto
581352,medio-bajo
210166,bajo
884521,medio-alto
407885,bajo
754111,medio-bajo
922618,bajo
844792,medio-bajo
865048,alto
405424,alto
78132,medio-bajo
310476,bajo
759125,medio-bajo
83693,bajo
717865,bajo
883950,medio-bajo
619008,bajo
328964,medio-alto
23097,alto
957967,bajo
299341,bajo
324366,bajo
318339,medio-alto
166099,alto
27503,alto
284745,bajo
518065,medio-bajo
970263,medio-bajo
712963,bajo
794524,alto
508720,medio-alto
600622,medio-bajo
680552,bajo
459776,alto
515235,bajo
581640,medio-alto
222938,medio-alto
713138,bajo
69564,bajo
92240,medio-alto
584020,bajo
809269,medio-alto
906941,bajo
720097,bajo
581373,bajo
679275,alto
482332,medio-bajo
969725,bajo
593699,medio-bajo
129597,bajo
408575,medio-bajo
965844,medio-bajo
513275,bajo
657656,alto
784235,alto
335490,alto
842551,alto
411427,alto
436688,medio-alto
267624,medio-bajo
656590,bajo
721508,medio-bajo
760001,medio-bajo
319243,medio-bajo
600326,alto
430807,bajo
786096,bajo
571334,alto
318920,bajo
712008,medio-alto
209893,medio-alto
176009,medio-bajo
439150,medio-alto
130970,alto
111859,bajo
518641,alto
941436,medio-bajo
430494,bajo
475464,bajo
550328,bajo
559536,medio-bajo
132838,alto
732168,bajo
789564,alto
138668,medio-alto
179665,medio-bajo
239215,bajo
84342,medio-alto
320638,bajo
914572,alto
464701,bajo
447620,bajo
294280,bajo
162590,medio-bajo
387951,bajo
354432,alto
168455,medio-bajo
673360,medio-bajo
189880,alto
893537,medio-alto
777124,bajo
673203,alto
554365,bajo
637657,bajo
983927,bajo
941766,bajo
790872,alto
590719,bajo
385690,bajo
892223,medio-bajo
612431,alto
682485,alto
942032,alto
371920,alto
552187,bajo
612143,bajo
318210,bajo
811238,medio-bajo
316437,alto
277253,bajo
788316,medio-bajo
466699,medio-alto
520411,medio-bajo
263314,bajo
610379,alto
238614,medio-bajo
150962,medio-bajo
243943,alto
16287,medio-alto
241746,alto
958125,bajo
431258,alto
632497,medio-bajo
80328,medio-bajo
125118,bajo
189019,medio-alto
553710,bajo
666059,medio-bajo
385026,medio-bajo
300471,alto
85774,bajo
854533,alto
207633,bajo
67514,alto
610064,alto
205287,alto
727520,medio-bajo
492971,medio-bajo
935237,medio-alto
772559,medio-bajo
722618,bajo
973049,medio-bajo
573642,medio-alto
23833,alto
649410,medio-bajo
860118,bajo
119804,bajo
471540,medio-bajo
374065,alto
356187,bajo
259749,bajo
836285,bajo
785344,bajo
740112,medio-alto
553345,medio-bajo
477951,medio-alto
38322,medio-alto
866421,alto
286991,medio-bajo
769983,medio-bajo
584694,medio-alto
810540,medio-bajo
374598,alto
597055,bajo
937647,alto
315899,medio-alto
141493,alto
945197,alto
509032,alto
784756,alto
71434,alto
273787,bajo
783644,medio-bajo
129774,bajo
627499,medio-bajo
840003,alto
960894,bajo
391773,alto
94716,alto
905669,alto
734051,alto
527444,bajo
780571,bajo
318706,medio-alto
516473,alto
651523,medio-bajo
103816,medio-bajo
540415,alto
295040,medio-bajo
878980,bajo
4618,bajo
740437,medio-alto
152309,bajo
310297,alto
71676,bajo
452599,bajo
45431,bajo
83133,bajo
811746,bajo
957795,bajo
927088,medio-bajo
681740,bajo
193957,medio-alto
112182,medio-alto
152531,medio-alto
546626,alto
231264,alto
363688,bajo
894053,alto
943231,alto
102387,medio-bajo
552927,alto
398291,medio-bajo
18232,medio-alto
283616,bajo
259055,alto
864631,bajo
245764,medio-alto
922138,medio-bajo
232897,alto
271306,medio-bajo
399521,medio-bajo
581244,bajo
156097,alto
261880,alto
266164,alto
337452,alto
905883,alto
289303,medio-bajo
665508,alto
925940,bajo
21053,alto
858664,medio-bajo
508561,bajo
228078,bajo
508373,bajo
259149,alto
790725,bajo
438545,alto
354776,bajo
946868,alto
928384,medio-bajo
186483,bajo
310432,medio-bajo
298326,bajo
360042,medio-bajo
77758,bajo
774317,medio-alto
791440,medio-bajo
151278,bajo
30555,alto
876569,bajo
459151,bajo
776789,alto
52658,medio-bajo
283325,bajo
436122,alto
453320,medio-alto
487249,alto
264209,bajo
509297,bajo
316754,alto
678571,bajo
524021,alto
580021,medio-alto
621342,alto
483002,medio-bajo
820194,alto
707720,medio-alto
569172,alto
63280,alto
286843,bajo
544591,bajo
904784,alto
74488,bajo
261085,bajo
888582,bajo
734238,medio-bajo
720579,bajo
92202,medio-bajo
922230,medio-alto
727884,alto
562351,bajo
677317,medio-alto
976492,alto
502976,alto
509836,alto
460319,bajo
596316,bajo
531700,medio-bajo
772789,bajo
80427,bajo
129119,bajo
843191,medio-alto
318593,medio-bajo
448024,bajo
283519,bajo
839831,alto
796867,medio-bajo
127422,bajo
499242,medio-bajo
67728,alto
319275,alto
938934,bajo
38739,medio-alto
963896,bajo
87719,alto
922016,alto
682077,alto
90891,medio-bajo
414080,medio-alto
977602,medio-bajo
231406,bajo
127315,alto
730466,alto
594645,bajo
1811,medio-bajo
454073,alto
